Campaign,Negative keyword,Match type
WM | Search | Leads v2,exceed,Phrase
WM | Search | Leads v2,exceed windows,Phrase
WM | Search | Leads v2,exceed windows and doors,Phrase
WM | Search | Leads v2,exceed windows wellington,Phrase
WM | Search | Leads v2,firstwindows,Phrase
WM | Search | Leads v2,firstwindows co nz,Phrase
WM | Search | Leads v2,nu look,Phrase
WM | Search | Leads v2,nulook,Phrase
WM | Search | Leads v2,metro windows,Phrase
WM | Search | Leads v2,metro windows and doors,Phrase
WM | Search | Leads v2,wellington glass,Phrase
WM | Search | Leads v2,builderscrack,Phrase
WM | Search | Leads v2,jims handyman,Phrase
WM | Search | Leads v2,thermashield,Phrase
WM | Search | Leads v2,fairview,Phrase
WM | Search | Leads v2,rylock,Phrase
WM | Search | Leads v2,viridian,Phrase
WM | Search | Leads v2,window company,Phrase
WM | Search | Leads v2,replacement,Phrase
WM | Search | Leads v2,replacements,Phrase
WM | Search | Leads v2,window replacement,Phrase
WM | Search | Leads v2,house window replacement,Phrase
WM | Search | Leads v2,cheap window replacement,Phrase
WM | Search | Leads v2,new windows,Phrase
WM | Search | Leads v2,new doors,Phrase
WM | Search | Leads v2,install,Phrase
WM | Search | Leads v2,installation,Phrase
WM | Search | Leads v2,for sale,Phrase
WM | Search | Leads v2,buy,Phrase
WM | Search | Leads v2,bi fold,Phrase
WM | Search | Leads v2,bifold,Phrase
WM | Search | Leads v2,double glazing cost,Phrase
WM | Search | Leads v2,joinery manufacturers,Phrase
WM | Search | Leads v2,window fitters,Phrase
WM | Search | Leads v2,screen door,Phrase
WM | Search | Leads v2,security screen door,Phrase
WM | Search | Leads v2,wooden,Phrase
WM | Search | Leads v2,timber,Phrase
WM | Search | Leads v2,putty,Phrase
WM | Search | Leads v2,auto glass,Phrase
WM | Search | Leads v2,car window,Phrase
WM | Search | Leads v2,windscreen,Phrase
WM | Search | Leads v2,windshield,Phrase
WM | Search | Leads v2,hamilton,Phrase
WM | Search | Leads v2,auckland,Phrase
WM | Search | Leads v2,christchurch,Phrase
WM | Search | Leads v2,tauranga,Phrase
WM | Search | Leads v2,new plymouth,Phrase
WM | Search | Leads v2,palmerston north,Phrase
WM | Search | Leads v2,dunedin,Phrase
WM | Search | Leads v2,how to,Phrase
WM | Search | Leads v2,diy,Phrase
WM | Search | Leads v2,youtube,Phrase
